,batVolt,occupancyCount,temperatur,humidit,co2Value,timez,occupancyStatus,occupancylasthour,voc,lux,deviceid,staticIaqValue,pressur,occupancytime,iaq,dispensor_percentange
0,,9617,93645,1,0,2021-08-19T00:22:26Z,0,0,32173,3553,01-aa-bb-cc-dd-03-02-01,79,0,15,133,0
1,,9617,93728,1,0,2021-08-19T00:52:26Z,0,0,45343,3553,01-aa-bb-cc-dd-03-02-01,0,0,15,0,0
2,,9617,93728,1,0,2021-08-19T01:22:26Z,0,0,45343,3553,01-aa-bb-cc-dd-03-02-01,0,0,15,0,0
3,,9617,93728,1,0,2021-08-19T01:52:26Z,0,0,45343,3553,01-aa-bb-cc-dd-03-02-01,0,0,15,0,0
4,,9617,93778,1,0,2021-08-19T02:22:27Z,0,0,43141,3553,01-aa-bb-cc-dd-03-02-01,0,0,15,0,0
5,,9617,93822,1,0,2021-08-19T02:52:26Z,0,0,40193,3524,01-aa-bb-cc-dd-03-02-01,29,0,15,30,0
6,,9617,93822,1,0,2021-08-19T03:22:26Z,0,0,36536,3522,01-aa-bb-cc-dd-03-02-01,72,0,15,83,0
7,,9617,93839,1,0,2021-08-19T03:52:26Z,0,0,36793,3553,01-aa-bb-cc-dd-03-02-01,74,0,15,86,0
8,,9617,93886,1,0,2021-08-19T04:22:26Z,0,0,37420,3524,01-aa-bb-cc-dd-03-02-01,68,0,15,78,0
9,,9617,93910,1,0,2021-08-19T04:52:26Z,0,0,33897,3529,01-aa-bb-cc-dd-03-02-01,113,0,15,134,0
10,,9617,93908,1,0,2021-08-19T05:22:26Z,0,0,30957,3553,01-aa-bb-cc-dd-03-02-01,169,0,15,203,0
11,,9617,93902,1,0,2021-08-19T05:52:26Z,0,0,32223,3555,01-aa-bb-cc-dd-03-02-01,151,0,15,182,0
12,,9617,93878,1,0,2021-08-19T06:22:26Z,0,0,33355,3529,01-aa-bb-cc-dd-03-02-01,133,0,15,159,0
13,,9617,93878,1,0,2021-08-19T06:52:26Z,0,0,33355,3529,01-aa-bb-cc-dd-03-02-01,133,0,15,159,0
14,,9617,93792,1,0,2021-08-19T07:22:27Z,0,0,41022,3553,01-aa-bb-cc-dd-03-02-01,28,0,15,28,0
15,,9617,93790,1,0,2021-08-19T07:52:26Z,0,0,42225,3553,01-aa-bb-cc-dd-03-02-01,15,0,15,12,0
16,,9617,93728,1,0,2021-08-19T08:22:27Z,0,0,43501,3553,01-aa-bb-cc-dd-03-02-01,10,0,15,8,0
17,,9617,93720,1,0,2021-08-19T08:52:26Z,0,0,48054,3524,01-aa-bb-cc-dd-03-02-01,0,0,15,0,0
18,,9617,93655,1,0,2021-08-19T09:22:26Z,0,0,50898,3524,01-aa-bb-cc-dd-03-02-01,0,0,15,0,0
19,,9617,93643,1,0,2021-08-19T09:52:26Z,0,0,47105,3527,01-aa-bb-cc-dd-03-02-01,0,0,15,0,0
20,,9617,93631,1,0,2021-08-19T10:22:26Z,0,0,43912,3524,01-aa-bb-cc-dd-03-02-01,37,0,15,36,0
21,,9617,93631,1,0,2021-08-19T10:52:27Z,0,0,1,3524,01-aa-bb-cc-dd-03-02-01,25,0,15,3510,0
22,,9617,93614,1,0,2021-08-19T11:22:27Z,0,0,1,3524,01-aa-bb-cc-dd-03-02-01,25,0,15,3510,0
23,,9617,93622,1,0,2021-08-19T11:52:26Z,0,0,0,3527,01-aa-bb-cc-dd-03-02-01,25,0,15,3510,0
24,,9617,93622,1,0,2021-08-19T12:22:27Z,0,0,0,3527,01-aa-bb-cc-dd-03-02-01,25,0,15,3510,0
25,,9617,93684,1,0,2021-08-19T12:52:26Z,0,0,39397,3527,01-aa-bb-cc-dd-03-02-01,94,0,15,92,0
26,,9617,93708,1,0,2021-08-19T13:22:27Z,0,0,41347,3524,01-aa-bb-cc-dd-03-02-01,69,0,15,67,0
27,,25,93728,1,0,2021-08-19T13:52:26Z,0,0,39962,3524,01-aa-bb-cc-dd-03-02-01,79,0,0,77,0
28,,25,93788,1,0,2021-08-19T14:22:26Z,0,0,40942,3553,01-aa-bb-cc-dd-03-02-01,74,0,0,72,0
29,,25,93845,1,0,2021-08-19T14:52:26Z,0,0,32805,3553,01-aa-bb-cc-dd-03-02-01,186,0,0,180,0
30,,25,93857,1,0,2021-08-19T15:22:26Z,0,0,29914,3531,01-aa-bb-cc-dd-03-02-01,231,0,0,224,0
